PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,2,Miss. Kate Buss,female,30.567086470510347,1,0,PC 69315,3.8181664803227453,,S
2,1,3,Miss. Dagmar Bryhl,female,26.122416983957628,0,1,PC 34642,19.57804105110439,,S
3,0,3,Mr. Patrick Murphy,male,10.933638353608853,0,0,PC 89003,57.47136446514858,,S
4,1,3,Miss. Mary Kelly,female,29.57115904880932,0,0,PC 10205,39.93012964718174,,S
5,1,1,Mr. William Sloper,male,12.517739991314013,0,0,PC 22442,18.440740675120118,D149,S
6,0,1,Major Fortescue,male,,4,2,PC 15691,174.9175420663906,B45,S
7,1,1,Mrs. Margaret Brown,female,,1,1,PC 48909,102.4014522200897,,Q
8,0,3,Mr. Ali Hassan,male,5.833553490043325,0,0,PC 29504,8.286517939442831,,S
9,0,3,Mr. Patrick Murphy,male,27.00906451527083,0,1,PC 74270,10.656653516809426,,C
10,0,3,Mr. Johan Larsson,male,28.19512292895071,0,0,PC 68051,25.954075023525487,C14,S
11,0,1,Col. John Weir,male,63.144237433126804,1,2,PC 48798,54.951624032507866,,S
12,0,3,Mr. Ali Hassan,male,30.898414473541983,1,0,PC 59330,6.399811496312208,,S
13,0,3,Mr. Johan Larsson,male,29.59453265135896,0,2,PC 97087,9.31233588706253,,S
14,0,1,Dr. Arthur Jackson,male,53.230019544187584,0,0,PC 88919,72.69618854103767,B14,S
15,1,1,Mrs. Margaret Brown,female,25.030735526818237,0,0,PC 92032,17.604970328617444,,S
16,1,1,Miss. Bishop,female,30.566286497677396,0,0,PC 51716,194.1831230136872,,S
17,0,2,Mr. Charles Aldworth,male,42.73453326769159,2,0,PC 84624,23.213632562854134,,S
18,0,3,Mr. Johan Larsson,male,,0,0,PC 56982,13.74283228697905,,S
19,1,2,Mr. George Harris,male,42.86896210050405,0,0,PC 37444,2.1693791179095165,,S
20,0,2,Mr. Henry Reg,male,13.882162079713451,0,0,PC 34734,19.18435432202959,G9,S
21,0,3,Mr. Patrick Murphy,male,,0,0,PC 51745,1.7662811233431581,,
22,0,1,Major Fortescue,male,37.72296852153137,4,0,PC 44571,6.885231315864697,,S
23,0,2,Mr. Charles Aldworth,male,23.176453682206944,0,0,PC 25389,15.510869998930623,F122,S
24,0,2,Rev. Robert Bateman,male,25.735740245745777,0,2,PC 94218,10.670415106402642,,S
25,0,3,Mr. Olaf Dahl,male,55.73299002402466,0,0,PC 55038,12.175197414631016,,C
26,0,3,Mr. Mustafa Ozkan,male,26.628884242332518,1,0,PC 82795,1.2803510934605062,,S
27,1,1,Miss. Charlotte Cardeza,female,,0,0,PC 55168,47.36298661699846,,C
28,0,3,Mrs. Leah Rosen,female,28.674499041518693,1,0,PC 88082,2.631953564133597,,S
29,0,3,Mr. Ali Hassan,male,20.264776106586673,0,0,PC 77690,59.602324409366666,,Q
30,1,1,Lady Duff-Gordon,female,20.944290367709282,0,0,PC 84302,69.18223989738864,D137,C
31,0,3,Mr. Patrick Murphy,male,33.412929912768114,0,0,PC 21230,15.932398357579707,,C
32,1,1,Lady Duff-Gordon,female,50.59781916897358,0,2,PC 93301,33.06764624292465,,S
33,1,1,Mrs. Eleanor Fortune,female,14.319591882237379,0,0,PC 15902,8.36067833424498,,S
34,1,3,Mr. Patrick Murphy,male,53.839734484724524,0,0,PC 76758,51.02339163202277,,S
35,0,3,Mr. Johan Larsson,male,37.11832703639762,1,0,PC 37050,4.620121926581987,E44,S
36,0,3,Mr. Johan Larsson,male,25.04188151093316,1,0,PC 84586,7.5530108676320395,,C
37,0,2,Rev. Robert Bateman,male,32.49971616188419,0,1,PC 79110,21.72327148193553,B87,S
38,0,1,Dr. Arthur Jackson,male,36.8282887411002,0,0,PC 86693,2.1006209495507635,,S
39,0,3,Mr. Johan Larsson,male,16.12321812104313,0,0,PC 29575,22.77071496069274,,S
40,0,2,Rev. Robert Bateman,male,26.028494329084467,0,0,PC 68940,15.920734381741292,B56,S
41,1,1,Lady Duff-Gordon,female,,1,0,PC 50244,27.38660387041852,,S
42,1,3,Mrs. Bridget OBrien,female,11.767833139435027,0,0,PC 93481,0.8711486288273431,,C
43,1,1,Mr. William Sloper,male,40.385098066420106,0,1,PC 24962,14.895898358366688,A14,S
44,0,3,Mr. Olaf Dahl,male,20.733227298589505,1,1,PC 87332,30.881409011550087,,S
45,0,2,Mr. Thomas Byles,male,,1,2,PC 34450,23.979696456488888,,S
46,1,3,Mr. Olaf Dahl,male,26.937491761066457,0,1,PC 63494,3.9394492921003765,,S
47,1,2,Miss. Nora Keane,female,34.2153529389864,0,0,PC 55037,1.4045257510272424,,S
48,0,3,Mr. Ali Hassan,male,33.090607209374916,0,0,PC 93040,16.072426707328265,,S
49,1,3,Mr. Johan Larsson,male,,0,1,PC 40041,11.63931680443882,,S
50,0,1,Dr. Arthur Jackson,male,,1,1,PC 20715,43.54448090059028,,S
51,0,3,Mr. Olaf Dahl,male,,1,1,PC 31803,6.191659833342674,,C
52,1,3,Mrs. Anna Sage,female,30.08539082527925,1,0,PC 78906,3.348080194061128,,S
53,1,3,Mrs. Bridget OBrien,female,35.73122804296243,0,0,PC 71726,15.172548710546621,,Q
54,0,3,Mr. Mustafa Ozkan,male,21.122757626247544,1,1,PC 11908,48.34835704148011,,C
55,0,3,Mr. Patrick Murphy,male,,0,0,PC 47075,2.6473774966122283,,C
56,0,3,Mr. Patrick Murphy,male,36.089011405491064,0,2,PC 74587,12.454781498887288,E27,S
57,1,1,Miss. Charlotte Cardeza,female,26.91405183026176,0,0,PC 63648,46.365391568464936,,Q
58,1,1,Mrs. Margaret Brown,female,14.778675018925078,0,0,PC 31134,49.714101836173114,,C
59,0,1,Col. John Weir,male,50.204202829603176,1,0,PC 66143,24.63107847600402,,C
60,0,2,Rev. Robert Bateman,male,46.162989023635504,0,1,PC 79123,36.095424629790514,,S
61,1,2,Mrs. Ada Clarke,female,,0,0,PC 55153,13.74655577933684,,C
62,0,2,Mr. George Harris,male,,0,0,PC 12413,16.22797949075775,,Q
63,1,3,Mrs. Leah Rosen,female,36.80591904596119,0,6,PC 32555,4.979942906301428,,S
64,0,2,Mr. Charles Aldworth,male,25.395959044514484,0,0,PC 20952,4.1536375788999305,,S
65,0,2,Rev. Robert Bateman,male,,0,1,PC 78993,1.8594120439978996,,Q
66,0,3,Mr. Johan Larsson,male,,1,0,PC 84000,17.154867803125377,,S
67,1,1,Col. John Weir,male,,0,1,PC 76686,18.349585581695,,S
68,0,3,Mr. Patrick Murphy,male,18.14112456220157,0,0,PC 42264,16.048537420390208,,S
69,1,1,Mrs. Margaret Brown,female,18.89630763079245,0,2,PC 57553,41.5727455064648,,Q
70,0,3,Mr. Patrick Murphy,male,32.627701148317584,1,2,PC 64359,7.3633219536437515,,S
71,1,3,Mr. Ali Hassan,male,13.941772467858119,0,0,PC 19808,8.676587862641899,,S
72,1,1,Dr. Arthur Jackson,male,11.936325390187136,0,0,PC 62330,38.50600066722861,,S
73,1,1,Dr. Arthur Jackson,male,29.323202396082266,0,0,PC 48345,8.90816779557747,A81,C
