PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,HasCabin,Deck
1,1,2,Miss. Kate Buss,female,30.567086470510347,1,0,PC 69315,3.818166480322745,S,0,Unknown
2,1,3,Miss. Dagmar Bryhl,female,26.122416983957628,0,1,PC 34642,19.57804105110439,S,0,Unknown
3,0,3,Mr. Patrick Murphy,male,10.933638353608853,0,0,PC 89003,57.47136446514858,S,0,Unknown
4,1,3,Miss. Mary Kelly,female,29.57115904880932,0,0,PC 10205,39.93012964718174,S,0,Unknown
5,1,1,Mr. William Sloper,male,12.517739991314013,0,0,PC 22442,18.44074067512012,S,1,D
6,0,1,Major Fortescue,male,29.343990111089028,4,2,PC 15691,174.9175420663906,S,1,B
7,1,1,Mrs. Margaret Brown,female,27.411824508686,1,1,PC 48909,102.4014522200897,Q,0,Unknown
8,0,3,Mr. Ali Hassan,male,5.833553490043325,0,0,PC 29504,8.286517939442831,S,0,Unknown
9,0,3,Mr. Patrick Murphy,male,27.00906451527083,0,1,PC 74270,10.656653516809426,C,0,Unknown
10,0,3,Mr. Johan Larsson,male,28.19512292895071,0,0,PC 68051,25.954075023525487,S,1,C
11,0,1,Col. John Weir,male,63.1442374331268,1,2,PC 48798,54.951624032507866,S,0,Unknown
12,0,3,Mr. Ali Hassan,male,30.898414473541983,1,0,PC 59330,6.399811496312208,S,0,Unknown
13,0,3,Mr. Johan Larsson,male,29.59453265135896,0,2,PC 97087,9.31233588706253,S,0,Unknown
14,0,1,Dr. Arthur Jackson,male,53.230019544187584,0,0,PC 88919,72.69618854103767,S,1,B
15,1,1,Mrs. Margaret Brown,female,25.03073552681824,0,0,PC 92032,17.604970328617444,S,0,Unknown
16,1,1,Miss. Bishop,female,30.5662864976774,0,0,PC 51716,194.1831230136872,S,0,Unknown
17,0,2,Mr. Charles Aldworth,male,42.73453326769159,2,0,PC 84624,23.213632562854134,S,0,Unknown
18,0,3,Mr. Johan Larsson,male,29.843532548220768,0,0,PC 56982,13.74283228697905,S,0,Unknown
19,1,2,Mr. George Harris,male,42.86896210050405,0,0,PC 37444,2.1693791179095165,S,0,Unknown
20,0,2,Mr. Henry Reg,male,13.882162079713453,0,0,PC 34734,19.18435432202959,S,1,G
21,0,3,Mr. Patrick Murphy,male,29.843532548220768,0,0,PC 51745,1.766281123343158,S,0,Unknown
22,0,1,Major Fortescue,male,37.72296852153137,4,0,PC 44571,6.885231315864697,S,0,Unknown
23,0,2,Mr. Charles Aldworth,male,23.176453682206944,0,0,PC 25389,15.510869998930623,S,1,F
24,0,2,Rev. Robert Bateman,male,25.735740245745777,0,2,PC 94218,10.670415106402642,S,0,Unknown
25,0,3,Mr. Olaf Dahl,male,55.73299002402466,0,0,PC 55038,12.175197414631016,C,0,Unknown
26,0,3,Mr. Mustafa Ozkan,male,26.62888424233252,1,0,PC 82795,1.2803510934605062,S,0,Unknown
27,1,1,Miss. Charlotte Cardeza,female,27.411824508686,0,0,PC 55168,47.36298661699846,C,0,Unknown
28,0,3,Mrs. Leah Rosen,female,28.674499041518693,1,0,PC 88082,2.631953564133597,S,0,Unknown
29,0,3,Mr. Ali Hassan,male,20.264776106586677,0,0,PC 77690,59.602324409366666,Q,0,Unknown
30,1,1,Lady Duff-Gordon,female,20.94429036770928,0,0,PC 84302,69.18223989738864,C,1,D
31,0,3,Mr. Patrick Murphy,male,33.412929912768114,0,0,PC 21230,15.932398357579707,C,0,Unknown
32,1,1,Lady Duff-Gordon,female,50.59781916897358,0,2,PC 93301,33.06764624292465,S,0,Unknown
